          iterations=   6     deuteron energy=-.222462069E+01 MeV


                  D-state probability=0.442679905E-01




   p(fm-1)          3s1(fm**3/2)      3d1(fm**3/2)
 0.881954977E+02  0.602190337E-33  0.286269332E-34
 0.885526070E+02  0.607689570E-33  0.285686883E-34
 0.889086899E+02  0.613196768E-33  0.285087899E-34
 0.892637323E+02  0.618711492E-33  0.284472558E-34
 0.896177202E+02  0.624233304E-33  0.283841038E-34
 0.899706396E+02  0.629761763E-33  0.283193522E-34
 0.903224768E+02  0.635296423E-33  0.282530194E-34
 0.906732178E+02  0.640836841E-33  0.281851241E-34
 0.910228487E+02  0.646382567E-33  0.281156852E-34
 0.913713559E+02  0.651933153E-33  0.280447218E-34
 0.917187255E+02  0.657488146E-33  0.279722534E-34
 0.920649440E+02  0.663047094E-33  0.278982995E-34
 0.924099976E+02  0.668609540E-33  0.278228800E-34
 0.927538728E+02  0.674175029E-33  0.277460149E-34
 0.930965560E+02  0.679743100E-33  0.276677245E-34
 0.934380337E+02  0.685313295E-33  0.275880294E-34
 0.937782924E+02  0.690885151E-33  0.275069500E-34
 0.941173188E+02  0.696458205E-33  0.274245075E-34
 0.944550995E+02  0.702031991E-33  0.273407228E-34
 0.947916212E+02  0.707606045E-33  0.272556173E-34
 0.951268706E+02  0.713179897E-33  0.271692124E-34
 0.954608346E+02  0.718753079E-33  0.270815298E-34
 0.957934999E+02  0.724325122E-33  0.269925913E-34
 0.961248534E+02  0.729895553E-33  0.269024190E-34
 0.964548822E+02  0.735463900E-33  0.268110350E-34
 0.967835731E+02  0.741029690E-33  0.267184618E-34
 0.971109133E+02  0.746592449E-33  0.266247219E-34
 0.974368899E+02  0.752151700E-33  0.265298379E-34
 0.977614899E+02  0.757706968E-33  0.264338328E-34
 0.980847007E+02  0.763257775E-33  0.263367296E-34
 0.984065095E+02  0.768803643E-33  0.262385513E-34
 0.987269035E+02  0.774344094E-33  0.261393214E-34
 0.990458702E+02  0.779878648E-33  0.260390633E-34
 0.993633971E+02  0.785406826E-33  0.259378004E-34
 0.996794715E+02  0.790928147E-33  0.258355567E-34
 0.999940811E+02  0.796442129E-33  0.257323559E-34
 0.100307213E+03  0.801948292E-33  0.256282219E-34
 0.100618856E+03  0.807446154E-33  0.255231789E-34
 0.100928997E+03  0.812935232E-33  0.254172510E-34
 0.101237624E+03  0.818415045E-33  0.253104626E-34
 0.101544725E+03  0.823885110E-33  0.252028381E-34
 0.101850287E+03  0.829344944E-33  0.250944019E-34
 0.102154299E+03  0.834794065E-33  0.249851788E-34
 0.102456748E+03  0.840231989E-33  0.248751933E-34
 0.102757623E+03  0.845658235E-33  0.247644704E-34
 0.103056913E+03  0.851072319E-33  0.246530348E-34
 0.103354604E+03  0.856473759E-33  0.245409116E-34
 0.103650685E+03  0.861862073E-33  0.244281256E-34
 0.103945145E+03  0.867236779E-33  0.243147022E-34
 0.104237973E+03  0.872597396E-33  0.242006663E-34
 0.104529156E+03  0.877943442E-33  0.240860433E-34
 0.104818683E+03  0.883274437E-33  0.239708584E-34
 0.105106542E+03  0.888589900E-33  0.238551369E-34
 0.105392723E+03  0.893889352E-33  0.237389042E-34
 0.105677214E+03  0.899172314E-33  0.236221858E-34
 0.105960004E+03  0.904438308E-33  0.235050071E-34
 0.106241081E+03  0.909686855E-33  0.233873935E-34
 0.106520435E+03  0.914917480E-33  0.232693707E-34
 0.106798055E+03  0.920129706E-33  0.231509642E-34
 0.107073930E+03  0.925323058E-33  0.230321994E-34
 0.107348048E+03  0.930497064E-33  0.229131021E-34
 0.107620399E+03  0.935651248E-33  0.227936979E-34
 0.107890973E+03  0.940785141E-33  0.226740122E-34
 0.108159758E+03  0.945898271E-33  0.225540707E-34
 0.108426744E+03  0.950990169E-33  0.224338991E-34
 0.108691921E+03  0.956060366E-33  0.223135229E-34
 0.108955278E+03  0.961108396E-33  0.221929677E-34
 0.109216804E+03  0.966133794E-33  0.220722591E-34
 0.109476490E+03  0.971136095E-33  0.219514226E-34
 0.109734325E+03  0.976114837E-33  0.218304837E-34
 0.109990299E+03  0.981069559E-33  0.217094680E-34
 0.110244402E+03  0.985999802E-33  0.215884010E-34
 0.110496623E+03  0.990905109E-33  0.214673079E-34
 0.110746954E+03  0.995785022E-33  0.213462144E-34
 0.110995384E+03  0.100063909E-32  0.212251455E-34
 0.111241903E+03  0.100546686E-32  0.211041268E-34
 0.111486502E+03  0.101026788E-32  0.209831834E-34
 0.111729171E+03  0.101504170E-32  0.208623404E-34
 0.111969900E+03  0.101978787E-32  0.207416230E-34
 0.112208680E+03  0.102450596E-32  0.206210563E-34
 0.112445501E+03  0.102919552E-32  0.205006651E-34
 0.112680355E+03  0.103385611E-32  0.203804745E-34
 0.112913232E+03  0.103848728E-32  0.202605092E-34
 0.113144122E+03  0.104308862E-32  0.201407940E-34
 0.113373017E+03  0.104765968E-32  0.200213534E-34
 0.113599908E+03  0.105220003E-32  0.199022122E-34
 0.113824785E+03  0.105670924E-32  0.197833946E-34
 0.114047640E+03  0.106118689E-32  0.196649250E-34
 0.114268464E+03  0.106563256E-32  0.195468278E-34
 0.114487249E+03  0.107004582E-32  0.194291270E-34
 0.114703985E+03  0.107442625E-32  0.193118467E-34
 0.114918665E+03  0.107877345E-32  0.191950108E-34
 0.115131279E+03  0.108308699E-32  0.190786430E-34
 0.115341820E+03  0.108736647E-32  0.189627670E-34
 0.115550278E+03  0.109161149E-32  0.188474063E-34
 0.115756647E+03  0.109582163E-32  0.187325844E-34
 0.115960917E+03  0.109999650E-32  0.186183245E-34
 0.116163081E+03  0.110413569E-32  0.185046497E-34
 0.116363130E+03  0.110823882E-32  0.183915830E-34
 0.116561058E+03  0.111230549E-32  0.182791472E-34
 0.116756855E+03  0.111633531E-32  0.181673650E-34
 0.116950515E+03  0.112032790E-32  0.180562589E-34
 0.117142029E+03  0.112428287E-32  0.179458512E-34
 0.117331391E+03  0.112819985E-32  0.178361641E-34
 0.117518592E+03  0.113207846E-32  0.177272197E-34
 0.117703626E+03  0.113591833E-32  0.176190397E-34
 0.117886484E+03  0.113971908E-32  0.175116460E-34
 0.118067161E+03  0.114348036E-32  0.174050599E-34
 0.118245648E+03  0.114720180E-32  0.172993028E-34
 0.118421938E+03  0.115088305E-32  0.171943957E-34
 0.118596026E+03  0.115452374E-32  0.170903598E-34
 0.118767903E+03  0.115812353E-32  0.169872155E-34
 0.118937563E+03  0.116168208E-32  0.168849837E-34
 0.119105000E+03  0.116519902E-32  0.167836845E-34
 0.119270206E+03  0.116867404E-32  0.166833381E-34
 0.119433176E+03  0.117210679E-32  0.165839644E-34
 0.119593903E+03  0.117549694E-32  0.164855833E-34
 0.119752380E+03  0.117884416E-32  0.163882141E-34
 0.119908602E+03  0.118214812E-32  0.162918762E-34
 0.120062561E+03  0.118540851E-32  0.161965887E-34
 0.120214253E+03  0.118862502E-32  0.161023705E-34
 0.120363671E+03  0.119179732E-32  0.160092401E-34
 0.120510808E+03  0.119492511E-32  0.159172159E-34
 0.120655661E+03  0.119800809E-32  0.158263162E-34
 0.120798222E+03  0.120104596E-32  0.157365589E-34
 0.120938486E+03  0.120403842E-32  0.156479616E-34
 0.121076448E+03  0.120698518E-32  0.155605418E-34
 0.121212102E+03  0.120988595E-32  0.154743168E-34
 0.121345442E+03  0.121274046E-32  0.153893035E-34
 0.121476464E+03  0.121554842E-32  0.153055186E-34
 0.121605163E+03  0.121830955E-32  0.152229785E-34
 0.121731532E+03  0.122102360E-32  0.151416996E-34
 0.121855569E+03  0.122369029E-32  0.150616977E-34
 0.121977266E+03  0.122630937E-32  0.149829885E-34
 0.122096620E+03  0.122888058E-32  0.149055876E-34
 0.122213626E+03  0.123140366E-32  0.148295099E-34
 0.122328280E+03  0.123387838E-32  0.147547705E-34
 0.122440576E+03  0.123630448E-32  0.146813840E-34
 0.122550510E+03  0.123868174E-32  0.146093647E-34
 0.122658079E+03  0.124100992E-32  0.145387267E-34
 0.122763277E+03  0.124328878E-32  0.144694837E-34
 0.122866101E+03  0.124551812E-32  0.144016495E-34
 0.122966547E+03  0.124769770E-32  0.143352371E-34
 0.123064610E+03  0.124982732E-32  0.142702595E-34
 0.123160287E+03  0.125190677E-32  0.142067295E-34
 0.123253574E+03  0.125393584E-32  0.141446594E-34
 0.123344468E+03  0.125591433E-32  0.140840613E-34
 0.123432964E+03  0.125784205E-32  0.140249469E-34
 0.123519060E+03  0.125971882E-32  0.139673279E-34
 0.123602751E+03  0.126154444E-32  0.139112155E-34
 0.123684035E+03  0.126331873E-32  0.138566205E-34
 0.123762908E+03  0.126504153E-32  0.138035535E-34
 0.123839368E+03  0.126671266E-32  0.137520250E-34
 0.123913411E+03  0.126833196E-32  0.137020448E-34
 0.123985034E+03  0.126989926E-32  0.136536228E-34
 0.124054235E+03  0.127141443E-32  0.136067683E-34
 0.124121010E+03  0.127287729E-32  0.135614905E-34
 0.124185358E+03  0.127428772E-32  0.135177981E-34
 0.124247275E+03  0.127564558E-32  0.134756995E-34
 0.124306760E+03  0.127695072E-32  0.134352030E-34
 0.124363809E+03  0.127820302E-32  0.133963165E-34
 0.124418421E+03  0.127940236E-32  0.133590474E-34
 0.124470594E+03  0.128054862E-32  0.133234030E-34
 0.124520324E+03  0.128164168E-32  0.132893902E-34
 0.124567612E+03  0.128268145E-32  0.132570157E-34
 0.124612454E+03  0.128366781E-32  0.132262855E-34
 0.124654848E+03  0.128460066E-32  0.131972058E-34
 0.124694794E+03  0.128547993E-32  0.131697822E-34
