#          iterations=   6     deuteron energy=-.222458389E+01 MeV
#
#
#                  D-state probability=0.575987699E-01
#
#
#
#
#   p(fm-1)          3s1(fm**3/2)      3d1(fm**3/2)
 0.849376575E+02  0.194297746E-10  -.675631707E-10
 0.853033672E+02  -.733582806E-11  -.149124525E-09
 0.856681784E+02  -.489029540E-11  -.137087589E-09
 0.860320768E+02  0.192733222E-10  -.596034896E-10
 0.863950480E+02  -.313296043E-10  -.213889395E-09
 0.867570778E+02  0.420812456E-10  0.179043999E-10
 0.871181518E+02  -.468291699E-10  -.257091865E-09
 0.874782560E+02  0.465861250E-10  0.379744034E-10
 0.878373760E+02  -.378709588E-10  -.224209940E-09
 0.881954977E+02  0.234652664E-10  -.287926592E-10
 0.885526070E+02  -.278999896E-11  -.109690958E-09
 0.889086899E+02  -.184497528E-10  -.155058005E-09
 0.892637323E+02  0.379712938E-10  0.227809134E-10
 0.896177202E+02  -.488175124E-10  -.245972745E-09
 0.899706396E+02  0.493389183E-10  0.633804471E-10
 0.903224768E+02  -.361774726E-10  -.202745018E-09
 0.906732178E+02  0.134289813E-10  -.443614660E-10
 0.910228487E+02  0.150566663E-10  -.385598680E-10
 0.913713559E+02  -.391593725E-10  -.205210881E-09
 0.917187255E+02  0.522283393E-10  0.820923781E-10
 0.920649440E+02  -.470134647E-10  -.226837238E-09
 0.924099976E+02  0.253845071E-10  0.234383711E-11
 0.927538728E+02  0.735705714E-11  -.536144940E-10
 0.930965560E+02  -.374690445E-10  -.191056067E-09
 0.934380337E+02  0.535377660E-10  0.947118775E-10
 0.937782924E+02  -.459900200E-10  -.215359480E-09
 0.941173188E+02  0.178921550E-10  -.129986634E-10
 0.944550995E+02  0.201125925E-10  -.585303420E-11
 0.947916212E+02  -.484786017E-10  -.218028471E-09
 0.951268706E+02  0.530746034E-10  0.100877788E-09
 0.954608346E+02  -.286695169E-10  -.154196645E-09
 0.957934999E+02  -.117260605E-10  -.986371960E-10
 0.961248534E+02  0.467358825E-10  0.844345238E-10
 0.964548822E+02  -.538491265E-10  -.228641059E-09
 0.967835731E+02  0.280958440E-10  0.295536661E-10
 0.971109133E+02  0.167417247E-10  -.601216198E-11
 0.974368899E+02  -.507434903E-10  -.214911853E-09
 0.977614899E+02  0.508477798E-10  0.103808472E-09
 0.980847007E+02  -.143385998E-10  -.998258269E-10
 0.984065095E+02  -.328306504E-10  -.155350115E-09
 0.987269035E+02  0.562746777E-10  0.123592702E-09
 0.990458702E+02  -.357496108E-10  -.163505105E-09
 0.993633971E+02  -.133860267E-10  -.914519335E-10
 0.996794715E+02  0.524654901E-10  0.114343553E-09
 0.999940811E+02  -.470265010E-10  -.195711305E-09
 0.100307213E+03  0.741631213E-12  -.445115720E-10
 0.100618856E+03  0.470663091E-10  0.100018457E-09
 0.100928997E+03  -.516002171E-10  -.207219785E-09
 0.101237624E+03  0.759681940E-11  -.205384542E-10
 0.101544725E+03  0.445180992E-10  0.944825553E-10
 0.101850287E+03  -.524098899E-10  -.207249642E-09
 0.102154299E+03  0.707850346E-11  -.197987795E-10
 0.102456748E+03  0.463038692E-10  0.102355111E-09
 0.102757623E+03  -.501475717E-10  -.197951453E-09
 0.103056913E+03  -.803907933E-12  -.422106932E-10
 0.103354604E+03  0.514311111E-10  0.120574465E-09
 0.103650685E+03  -.430010187E-10  -.173632511E-09
 0.103945145E+03  -.158091476E-10  -.870288022E-10
 0.104237973E+03  0.561469981E-10  0.137425261E-09
 0.104529156E+03  -.275210257E-10  -.123520265E-09
 0.104818683E+03  -.355540845E-10  -.146867170E-09
 0.105106542E+03  0.535399580E-10  0.131365887E-09
 0.105392723E+03  -.139740746E-11  -.402985945E-10
 0.105677214E+03  -.526001750E-10  -.198536287E-09
 0.105960004E+03  0.353380364E-10  0.765550885E-10
 0.106241081E+03  0.311956746E-10  0.631030565E-10
 0.106520435E+03  -.535631384E-10  -.200306873E-09
 0.106798055E+03  -.112503813E-11  -.354395966E-10
 0.107073930E+03  0.544032369E-10  0.137361222E-09
 0.107348048E+03  -.261484049E-10  -.113680971E-09
 0.107620399E+03  -.418514371E-10  -.161141077E-09
 0.107890973E+03  0.450748252E-10  0.110203075E-09
 0.108159758E+03  0.230490347E-10  0.410390198E-10
 0.108426744E+03  -.539869482E-10  -.198129914E-09
 0.108691921E+03  -.324448412E-11  -.387940795E-10
 0.108955278E+03  0.551708215E-10  0.142908270E-09
 0.109216804E+03  -.136245761E-10  -.715548030E-10
 0.109476490E+03  -.511791061E-10  -.187265260E-09
 0.109734325E+03  0.265794930E-10  0.556438900E-10
 0.109990299E+03  0.452792430E-10  0.113333517E-09
 0.110244402E+03  -.352215784E-10  -.137107673E-09
 0.110496623E+03  -.392250444E-10  -.148269763E-09
 0.110746954E+03  0.406288637E-10  0.100699307E-09
 0.110995384E+03  0.347927349E-10  0.819583096E-10
 0.111241903E+03  -.432021355E-10  -.160395376E-09
 0.111486502E+03  -.323446935E-10  -.125370627E-09
 0.111729171E+03  0.438936828E-10  0.112107612E-09
 0.111969900E+03  0.325524944E-10  0.762549102E-10
 0.112208680E+03  -.425196226E-10  -.156935490E-09
 0.112445501E+03  -.349903329E-10  -.132341852E-09
 0.112680355E+03  0.392192099E-10  0.988035151E-10
 0.112913232E+03  0.396054528E-10  0.994514205E-10
 0.113144122E+03  -.330672685E-10  -.126408300E-09
 0.113373017E+03  -.451748434E-10  -.162976400E-09
 0.113599908E+03  0.236770745E-10  0.516753272E-10
 0.113824785E+03  0.505291080E-10  0.134702152E-09
 0.114047640E+03  -.102078115E-10  -.543257711E-10
 0.114268464E+03  -.531223489E-10  -.186890891E-09
 0.114487249E+03  -.675183033E-11  -.418802197E-10
 0.114703985E+03  0.504867054E-10  0.135903667E-09
 0.114918665E+03  0.257369437E-10  0.584864166E-10
 0.115131279E+03  -.396771671E-10  -.144501438E-09
 0.115341820E+03  -.426390481E-10  -.152731294E-09
 0.115550278E+03  0.198134338E-10  0.418093149E-10
 0.115756647E+03  0.520315445E-10  0.141519082E-09
 0.115960917E+03  0.723864354E-11  0.201872447E-11
 0.116163081E+03  -.476231450E-10  -.167907821E-09
 0.116363130E+03  -.343434425E-10  -.125753124E-09
 0.116561058E+03  0.266863829E-10  0.641303824E-10
 0.116756855E+03  0.507984159E-10  0.138598844E-09
 0.116950515E+03  0.680563093E-11  0.166539074E-11
 0.117142029E+03  -.456520126E-10  -.160794046E-09
