W2	Ee`	X	QL_A	IN_A	TOT_A	QL_D	IN_D	TOT_D	DGW2D	REL	Q2
0.0514	10.8048	1.5100	0.148E-01	0.159E-04	0.149E-01	0.559E-03	0.364E-06	0.559E-03	0.266E-03	0.380E+01	2.4544
0.0403	10.8101	1.5200	0.140E-01	0.108E-04	0.140E-01	0.527E-03	0.150E-06	0.527E-03	0.251E-03	0.380E+01	2.4556
0.0293	10.8153	1.5300	0.132E-01	0.805E-06	0.132E-01	0.498E-03	0.523E-07	0.498E-03	0.237E-03	0.379E+01	2.4568
0.0185	10.8205	1.5400	0.125E-01	0.000E+00	0.125E-01	0.472E-03	0.000E+00	0.472E-03	0.224E-03	0.379E+01	2.4580
0.0078	10.8255	1.5500	0.119E-01	0.000E+00	0.119E-01	0.447E-03	0.000E+00	0.447E-03	0.213E-03	0.379E+01	2.4592
-0.0028	10.8306	1.5600	0.113E-01	0.000E+00	0.113E-01	0.424E-03	0.000E+00	0.424E-03	0.202E-03	0.379E+01	2.4603
-0.0133	10.8355	1.5700	0.107E-01	0.000E+00	0.107E-01	0.403E-03	0.000E+00	0.403E-03	0.192E-03	0.379E+01	2.4614
-0.0236	10.8405	1.5800	0.103E-01	0.000E+00	0.103E-01	0.389E-03	0.000E+00	0.389E-03	0.185E-03	0.379E+01	2.4625
-0.0338	10.8453	1.5900	0.983E-02	0.000E+00	0.983E-02	0.371E-03	0.000E+00	0.371E-03	0.176E-03	0.379E+01	2.4636
-0.0439	10.8501	1.6000	0.936E-02	0.000E+00	0.936E-02	0.353E-03	0.000E+00	0.353E-03	0.168E-03	0.379E+01	2.4647
-0.0539	10.8548	1.6100	0.888E-02	0.000E+00	0.888E-02	0.337E-03	0.000E+00	0.337E-03	0.160E-03	0.376E+01	2.4658
-0.0637	10.8595	1.6200	0.848E-02	0.000E+00	0.848E-02	0.322E-03	0.000E+00	0.322E-03	0.153E-03	0.376E+01	2.4669
-0.0735	10.8642	1.6300	0.811E-02	0.000E+00	0.811E-02	0.304E-03	0.000E+00	0.304E-03	0.144E-03	0.381E+01	2.4679
-0.0831	10.8687	1.6400	0.774E-02	0.000E+00	0.774E-02	0.291E-03	0.000E+00	0.291E-03	0.138E-03	0.380E+01	2.4690
-0.0927	10.8733	1.6500	0.742E-02	0.000E+00	0.742E-02	0.279E-03	0.000E+00	0.279E-03	0.132E-03	0.380E+01	2.4700
-0.1021	10.8778	1.6600	0.707E-02	0.000E+00	0.707E-02	0.267E-03	0.000E+00	0.267E-03	0.127E-03	0.378E+01	2.4710
-0.1114	10.8822	1.6700	0.677E-02	0.000E+00	0.677E-02	0.255E-03	0.000E+00	0.255E-03	0.121E-03	0.379E+01	2.4720
-0.1206	10.8866	1.6800	0.647E-02	0.000E+00	0.647E-02	0.245E-03	0.000E+00	0.245E-03	0.117E-03	0.377E+01	2.4730
-0.1297	10.8909	1.6900	0.621E-02	0.000E+00	0.621E-02	0.233E-03	0.000E+00	0.233E-03	0.111E-03	0.380E+01	2.4740
-0.1387	10.8952	1.7000	0.595E-02	0.000E+00	0.595E-02	0.225E-03	0.000E+00	0.225E-03	0.107E-03	0.377E+01	2.4750
-0.1477	10.8994	1.7100	0.568E-02	0.000E+00	0.568E-02	0.214E-03	0.000E+00	0.214E-03	0.102E-03	0.380E+01	2.4759
-0.1565	10.9036	1.7200	0.546E-02	0.000E+00	0.546E-02	0.207E-03	0.000E+00	0.207E-03	0.983E-04	0.377E+01	2.4769
-0.1652	10.9078	1.7300	0.523E-02	0.000E+00	0.523E-02	0.197E-03	0.000E+00	0.197E-03	0.936E-04	0.380E+01	2.4778
-0.1738	10.9119	1.7400	0.499E-02	0.000E+00	0.499E-02	0.189E-03	0.000E+00	0.189E-03	0.897E-04	0.378E+01	2.4788
-0.1824	10.9159	1.7500	0.478E-02	0.000E+00	0.478E-02	0.180E-03	0.000E+00	0.180E-03	0.856E-04	0.379E+01	2.4797
-0.1908	10.9199	1.7600	0.457E-02	0.000E+00	0.457E-02	0.172E-03	0.000E+00	0.172E-03	0.816E-04	0.380E+01	2.4806
-0.1992	10.9239	1.7700	0.437E-02	0.000E+00	0.437E-02	0.164E-03	0.000E+00	0.164E-03	0.780E-04	0.381E+01	2.4815
-0.2074	10.9278	1.7800	0.418E-02	0.000E+00	0.418E-02	0.156E-03	0.000E+00	0.156E-03	0.743E-04	0.382E+01	2.4824
-0.2156	10.9317	1.7900	0.399E-02	0.000E+00	0.399E-02	0.150E-03	0.000E+00	0.150E-03	0.711E-04	0.381E+01	2.4833
-0.2237	10.9356	1.8000	0.380E-02	0.000E+00	0.380E-02	0.143E-03	0.000E+00	0.143E-03	0.679E-04	0.380E+01	2.4841
-0.2317	10.9394	1.8100	0.362E-02	0.000E+00	0.362E-02	0.137E-03	0.000E+00	0.137E-03	0.649E-04	0.378E+01	2.4850
-0.2396	10.9431	1.8200	0.344E-02	0.000E+00	0.344E-02	0.130E-03	0.000E+00	0.130E-03	0.617E-04	0.379E+01	2.4859
-0.2475	10.9469	1.8300	0.328E-02	0.000E+00	0.328E-02	0.123E-03	0.000E+00	0.123E-03	0.583E-04	0.382E+01	2.4867
-0.2553	10.9506	1.8400	0.311E-02	0.000E+00	0.311E-02	0.117E-03	0.000E+00	0.117E-03	0.557E-04	0.379E+01	2.4876
-0.2629	10.9542	1.8500	0.294E-02	0.000E+00	0.294E-02	0.110E-03	0.000E+00	0.110E-03	0.524E-04	0.381E+01	2.4884
-0.2706	10.9578	1.8600	0.278E-02	0.000E+00	0.278E-02	0.105E-03	0.000E+00	0.105E-03	0.499E-04	0.378E+01	2.4892
-0.2781	10.9614	1.8700	0.262E-02	0.000E+00	0.262E-02	0.987E-04	0.000E+00	0.987E-04	0.469E-04	0.380E+01	2.4900
-0.2856	10.9650	1.8800	0.246E-02	0.000E+00	0.246E-02	0.928E-04	0.000E+00	0.928E-04	0.441E-04	0.379E+01	2.4908
-0.2929	10.9685	1.8900	0.230E-02	0.000E+00	0.230E-02	0.866E-04	0.000E+00	0.866E-04	0.412E-04	0.380E+01	2.4916
-0.3003	10.9720	1.9000	0.215E-02	0.000E+00	0.215E-02	0.812E-04	0.000E+00	0.812E-04	0.386E-04	0.378E+01	2.4924
-0.3075	10.9754	1.9100	0.198E-02	0.000E+00	0.198E-02	0.746E-04	0.000E+00	0.746E-04	0.355E-04	0.380E+01	2.4932
-0.3147	10.9788	1.9200	0.183E-02	0.000E+00	0.183E-02	0.688E-04	0.000E+00	0.688E-04	0.327E-04	0.379E+01	2.4940
-0.3218	10.9822	1.9300	0.166E-02	0.000E+00	0.166E-02	0.629E-04	0.000E+00	0.629E-04	0.299E-04	0.378E+01	2.4947
-0.3288	10.9855	1.9400	0.150E-02	0.000E+00	0.150E-02	0.563E-04	0.000E+00	0.563E-04	0.268E-04	0.380E+01	2.4955
-0.3358	10.9888	1.9500	0.133E-02	0.000E+00	0.133E-02	0.500E-04	0.000E+00	0.500E-04	0.237E-04	0.379E+01	2.4962
-0.3426	10.9921	1.9600	0.114E-02	0.000E+00	0.114E-02	0.428E-04	0.000E+00	0.428E-04	0.203E-04	0.381E+01	2.4970
-0.3495	10.9954	1.9700	0.939E-03	0.000E+00	0.939E-03	0.354E-04	0.000E+00	0.354E-04	0.168E-04	0.379E+01	2.4977
-0.3562	10.9986	1.9800	0.700E-03	0.000E+00	0.700E-03	0.263E-04	0.000E+00	0.263E-04	0.125E-04	0.380E+01	2.4985
